,kappa,region,feature,group
77,0.33,North Musician,tempo,5
78,0.09,North Non-Musician,tempo,0
79,0.5,North Non-Musician,tempo,1
80,0.09,North Non-Musician,tempo,2
81,0.86,North Non-Musician,tempo,3
82,0.62,North Non-Musician,tempo,4
83,0.33,North Non-Musician,tempo,5
84,0.17,South Musician,tempo,0
85,0.86,South Musician,tempo,1
86,1.0,South Musician,tempo,2
87,0.0,South Musician,tempo,3
88,0.29,South Musician,tempo,4
89,0.0,South Musician,tempo,5
90,-0.67,South Non-Musician,tempo,0
91,0.67,South Non-Musician,tempo,1
92,0.8,South Non-Musician,tempo,2
93,0.4,South Non-Musician,tempo,3
94,-0.06,South Non-Musician,tempo,4
95,0.0,South Non-Musician,tempo,5
96,0.55,North Musician,consonance,0
97,0.67,North Musician,consonance,1
98,-0.07,North Musician,consonance,2
99,0.35,North Musician,consonance,3
100,-0.49,North Musician,consonance,4
101,-0.36,North Musician,consonance,5
102,0.29,North Non-Musician,consonance,0
103,0.8,North Non-Musician,consonance,1
104,0.67,North Non-Musician,consonance,2
105,0.57,North Non-Musician,consonance,3
106,0.44,North Non-Musician,consonance,4
107,0.0,North Non-Musician,consonance,5
108,0.0,South Musician,consonance,0
109,0.29,South Musician,consonance,1
110,0.4,South Musician,consonance,2
111,0.4,South Musician,consonance,3
112,-0.4,South Musician,consonance,4
113,0.0,South Musician,consonance,5
114,0.17,South Non-Musician,consonance,0
115,0.69,South Non-Musician,consonance,1
116,0.29,South Non-Musician,consonance,2
117,0.4,South Non-Musician,consonance,3
118,0.0,South Non-Musician,consonance,4
119,0.29,South Non-Musician,consonance,5
120,0.17,North Musician,emotion,0
121,0.76,North Musician,emotion,1
122,0.4,North Musician,emotion,2
123,0.21,North Musician,emotion,3
124,0.0,North Musician,emotion,4
125,-0.36,North Musician,emotion,5
126,0.76,North Non-Musician,emotion,0
127,0.5,North Non-Musician,emotion,1
128,-0.11,North Non-Musician,emotion,2
129,1.0,North Non-Musician,emotion,3
130,0.76,North Non-Musician,emotion,4
131,0.0,North Non-Musician,emotion,5
132,-0.43,South Musician,emotion,0
133,0.5,South Musician,emotion,1
134,0.0,South Musician,emotion,2
135,0.67,South Musician,emotion,3
136,0.0,South Musician,emotion,4
137,0.0,South Musician,emotion,5
138,1.0,South Non-Musician,emotion,0
139,0.62,South Non-Musician,emotion,1
140,0.33,South Non-Musician,emotion,2
141,0.0,South Non-Musician,emotion,3
142,0.29,South Non-Musician,emotion,4
143,0.29,South Non-Musician,emotion,5
144,0.36,North Musician,decoration,0
145,0.0,North Musician,decoration,1
146,0.05,North Musician,decoration,2
147,0.25,North Musician,decoration,3
148,0.09,North Musician,decoration,4
149,0.55,North Musician,decoration,5
150,0.21,North Non-Musician,decoration,0
151,0.8,North Non-Musician,decoration,1
152,-0.92,North Non-Musician,decoration,2
153,0.55,North Non-Musician,decoration,3
154,-0.09,North Non-Musician,decoration,4
155,-0.43,North Non-Musician,decoration,5
156,0.52,South Musician,decoration,0
157,0.0,South Musician,decoration,1
158,0.17,South Musician,decoration,2
159,0.29,South Musician,decoration,3
160,-0.57,South Musician,decoration,4
161,0.0,South Musician,decoration,5
162,0.57,South Non-Musician,decoration,0
163,-0.4,South Non-Musician,decoration,1
164,0.4,South Non-Musician,decoration,2
165,-0.5,South Non-Musician,decoration,3
166,-0.19,South Non-Musician,decoration,4
167,0.55,South Non-Musician,decoration,5
168,0.29,North Musician,range,0
169,0.29,North Musician,range,1
170,0.21,North Musician,range,2
171,0.57,North Musician,range,3
172,-0.13,North Musician,range,4
173,0.4,North Musician,range,5
174,-0.36,North Non-Musician,range,0
175,0.67,North Non-Musician,range,1
176,0.29,North Non-Musician,range,2
177,0.62,North Non-Musician,range,3
178,-0.39,North Non-Musician,range,4
179,0.0,North Non-Musician,range,5
180,-0.11,South Musician,range,0
181,0.14,South Musician,range,1
182,-0.29,South Musician,range,2
183,0.21,South Musician,range,3
184,0.29,South Musician,range,4
185,0.0,South Musician,range,5
186,0.8,South Non-Musician,range,0
187,0.0,South Non-Musician,range,1
188,-0.67,South Non-Musician,range,2
189,-0.07,South Non-Musician,range,3
190,0.0,South Non-Musician,range,4
191,-0.41,South Non-Musician,range,5
192,0.67,North Musician,quality,0
193,0.4,North Musician,quality,1
194,-0.43,North Musician,quality,2
195,0.0,North Musician,quality,3
196,0.0,North Musician,quality,4
197,0.55,North Musician,quality,5
198,0.17,North Non-Musician,quality,0
199,0.5,North Non-Musician,quality,1
200,0.29,North Non-Musician,quality,2
201,-0.21,North Non-Musician,quality,3
202,-0.67,North Non-Musician,quality,4
203,0.55,North Non-Musician,quality,5
204,-0.15,South Musician,quality,0
205,0.17,South Musician,quality,1
206,0.29,South Musician,quality,2
207,0.0,South Musician,quality,3
208,-0.36,South Musician,quality,4
209,0.0,South Musician,quality,5
210,0.29,South Non-Musician,quality,0
211,0.55,South Non-Musician,quality,1
212,0.0,South Non-Musician,quality,2
213,0.05,South Non-Musician,quality,3
214,0.55,South Non-Musician,quality,4
215,-0.67,South Non-Musician,quality,5
216,0.58,North Musician,rhythm,0
217,0.8,North Musician,rhythm,1
218,0.0,North Musician,rhythm,2
219,-0.43,North Musician,rhythm,3
220,0.04,North Musician,rhythm,4
221,0.32,North Musician,rhythm,5
222,-0.4,North Non-Musician,rhythm,0
223,0.5,North Non-Musician,rhythm,1
224,0.33,North Non-Musician,rhythm,2
225,-0.15,North Non-Musician,rhythm,3
226,-0.07,North Non-Musician,rhythm,4
227,0.14,North Non-Musician,rhythm,5
228,0.48,South Musician,rhythm,0
229,0.0,South Musician,rhythm,1
230,0.52,South Musician,rhythm,2
231,0.44,South Musician,rhythm,3
232,0.67,South Musician,rhythm,4
233,0.0,South Musician,rhythm,5
234,-0.36,South Non-Musician,rhythm,0
235,0.4,South Non-Musician,rhythm,1
236,0.0,South Non-Musician,rhythm,2
237,0.33,South Non-Musician,rhythm,3
238,-0.05,South Non-Musician,rhythm,4
239,0.0,South Non-Musician,rhythm,5
240,0.0,North Musician,excitingness,0
241,0.67,North Musician,excitingness,1
242,0.0,North Musician,excitingness,2
243,0.35,North Musician,excitingness,3
244,-0.44,North Musician,excitingness,4
245,0.0,North Musician,excitingness,5
246,0.0,North Non-Musician,excitingness,0
247,0.67,North Non-Musician,excitingness,1
248,-0.5,North Non-Musician,excitingness,2
249,0.67,North Non-Musician,excitingness,3
250,0.0,North Non-Musician,excitingness,4
251,0.0,North Non-Musician,excitingness,5
252,0.0,South Musician,excitingness,0
253,0.29,South Musician,excitingness,1
254,0.0,South Musician,excitingness,2
255,0.4,South Musician,excitingness,3
256,0.0,South Musician,excitingness,4
257,0.0,South Musician,excitingness,5
258,0.17,South Non-Musician,excitingness,0
259,-0.25,South Non-Musician,excitingness,1
260,0.0,South Non-Musician,excitingness,2
261,0.5,South Non-Musician,excitingness,3
262,0.0,South Non-Musician,excitingness,4
263,-0.67,South Non-Musician,excitingness,5
264,0.62,North Musician,groove,0
265,0.55,North Musician,groove,1
266,0.0,North Musician,groove,2
267,0.55,North Musician,groove,3
268,-0.25,North Musician,groove,4
269,0.17,North Musician,groove,5
270,0.55,North Non-Musician,groove,0
271,0.55,North Non-Musician,groove,1
272,0.0,North Non-Musician,groove,2
273,0.78,North Non-Musician,groove,3
274,0.55,North Non-Musician,groove,4
275,0.0,North Non-Musician,groove,5
276,-0.25,South Musician,groove,0
277,0.75,South Musician,groove,1
278,0.19,South Musician,groove,2
279,0.85,South Musician,groove,3
280,0.0,South Musician,groove,4
281,0.0,South Musician,groove,5
282,0.58,South Non-Musician,groove,0
283,0.69,South Non-Musician,groove,1
284,-0.15,South Non-Musician,groove,2
285,0.58,South Non-Musician,groove,3
286,0.0,South Non-Musician,groove,4
287,0.29,South Non-Musician,groove,5
288,0.55,North Musician,timbre,0
289,0.44,North Musician,timbre,1
290,0.0,North Musician,timbre,2
291,0.57,North Musician,timbre,3
292,0.0,North Musician,timbre,4
293,0.17,North Musician,timbre,5
294,0.62,North Non-Musician,timbre,0
295,0.07,North Non-Musician,timbre,1
296,-0.4,North Non-Musician,timbre,2
297,0.33,North Non-Musician,timbre,3
298,-0.45,North Non-Musician,timbre,4
299,0.26,North Non-Musician,timbre,5
300,0.29,South Musician,timbre,0
301,0.62,South Musician,timbre,1
302,-0.11,South Musician,timbre,2
303,1.0,South Musician,timbre,3
304,-0.43,South Musician,timbre,4
305,0.0,South Musician,timbre,5
306,0.0,South Non-Musician,timbre,0
307,0.25,South Non-Musician,timbre,1
308,0.0,South Non-Musician,timbre,2
309,0.4,South Non-Musician,timbre,3
310,0.85,South Non-Musician,timbre,4
311,0.29,South Non-Musician,timbre,5
