,kappa,region,feature,group
212,0.0,South Non-Musician,Sound Quality,2
213,0.05,South Non-Musician,Sound Quality,3
214,0.55,South Non-Musician,Sound Quality,4
215,-0.67,South Non-Musician,Sound Quality,5
216,0.58,North Musician,Rhythmic Regularity,0
217,0.8,North Musician,Rhythmic Regularity,1
218,0.0,North Musician,Rhythmic Regularity,2
219,-0.43,North Musician,Rhythmic Regularity,3
220,0.04,North Musician,Rhythmic Regularity,4
221,0.32,North Musician,Rhythmic Regularity,5
222,-0.4,North Non-Musician,Rhythmic Regularity,0
223,0.5,North Non-Musician,Rhythmic Regularity,1
224,0.33,North Non-Musician,Rhythmic Regularity,2
225,-0.15,North Non-Musician,Rhythmic Regularity,3
226,-0.07,North Non-Musician,Rhythmic Regularity,4
227,0.14,North Non-Musician,Rhythmic Regularity,5
228,0.48,South Musician,Rhythmic Regularity,0
229,0.0,South Musician,Rhythmic Regularity,1
230,0.52,South Musician,Rhythmic Regularity,2
231,0.44,South Musician,Rhythmic Regularity,3
232,0.67,South Musician,Rhythmic Regularity,4
233,0.0,South Musician,Rhythmic Regularity,5
234,-0.36,South Non-Musician,Rhythmic Regularity,0
235,0.4,South Non-Musician,Rhythmic Regularity,1
236,0.0,South Non-Musician,Rhythmic Regularity,2
237,0.33,South Non-Musician,Rhythmic Regularity,3
238,-0.05,South Non-Musician,Rhythmic Regularity,4
239,0.0,South Non-Musician,Rhythmic Regularity,5
240,0.0,North Musician,Excitement,0
241,0.67,North Musician,Excitement,1
242,0.0,North Musician,Excitement,2
243,0.35,North Musician,Excitement,3
244,-0.44,North Musician,Excitement,4
245,0.0,North Musician,Excitement,5
246,0.0,North Non-Musician,Excitement,0
247,0.67,North Non-Musician,Excitement,1
248,-0.5,North Non-Musician,Excitement,2
249,0.67,North Non-Musician,Excitement,3
250,0.0,North Non-Musician,Excitement,4
251,0.0,North Non-Musician,Excitement,5
252,0.0,South Musician,Excitement,0
253,0.29,South Musician,Excitement,1
254,0.0,South Musician,Excitement,2
255,0.4,South Musician,Excitement,3
256,0.0,South Musician,Excitement,4
257,0.0,South Musician,Excitement,5
258,0.17,South Non-Musician,Excitement,0
259,-0.25,South Non-Musician,Excitement,1
260,0.0,South Non-Musician,Excitement,2
261,0.5,South Non-Musician,Excitement,3
262,0.0,South Non-Musician,Excitement,4
263,-0.67,South Non-Musician,Excitement,5
264,0.62,North Musician,Grooviness,0
265,0.55,North Musician,Grooviness,1
266,0.0,North Musician,Grooviness,2
267,0.55,North Musician,Grooviness,3
268,-0.25,North Musician,Grooviness,4
269,0.17,North Musician,Grooviness,5
270,0.55,North Non-Musician,Grooviness,0
271,0.55,North Non-Musician,Grooviness,1
272,0.0,North Non-Musician,Grooviness,2
273,0.78,North Non-Musician,Grooviness,3
274,0.55,North Non-Musician,Grooviness,4
275,0.0,North Non-Musician,Grooviness,5
276,-0.25,South Musician,Grooviness,0
277,0.75,South Musician,Grooviness,1
278,0.19,South Musician,Grooviness,2
279,0.85,South Musician,Grooviness,3
280,0.0,South Musician,Grooviness,4
281,0.0,South Musician,Grooviness,5
282,0.58,South Non-Musician,Grooviness,0
283,0.69,South Non-Musician,Grooviness,1
284,-0.15,South Non-Musician,Grooviness,2
285,0.58,South Non-Musician,Grooviness,3
286,0.0,South Non-Musician,Grooviness,4
287,0.29,South Non-Musician,Grooviness,5
288,0.55,North Musician,Vocal Tension,0
289,0.44,North Musician,Vocal Tension,1
290,0.0,North Musician,Vocal Tension,2
291,0.57,North Musician,Vocal Tension,3
292,0.0,North Musician,Vocal Tension,4
293,0.17,North Musician,Vocal Tension,5
294,0.62,North Non-Musician,Vocal Tension,0
295,0.07,North Non-Musician,Vocal Tension,1
296,-0.4,North Non-Musician,Vocal Tension,2
297,0.33,North Non-Musician,Vocal Tension,3
298,-0.45,North Non-Musician,Vocal Tension,4
299,0.26,North Non-Musician,Vocal Tension,5
300,0.29,South Musician,Vocal Tension,0
301,0.62,South Musician,Vocal Tension,1
302,-0.11,South Musician,Vocal Tension,2
303,1.0,South Musician,Vocal Tension,3
304,-0.43,South Musician,Vocal Tension,4
305,0.0,South Musician,Vocal Tension,5
306,0.0,South Non-Musician,Vocal Tension,0
307,0.25,South Non-Musician,Vocal Tension,1
308,0.0,South Non-Musician,Vocal Tension,2
309,0.4,South Non-Musician,Vocal Tension,3
310,0.85,South Non-Musician,Vocal Tension,4
311,0.29,South Non-Musician,Vocal Tension,5
