,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
27,0.0,0.6365,0.5002,0.4285,0.4285,0.4285,0.5002,0.2502,0.0,0.5002,0.6365,0.4285,0.6001,0.6924,0.5557,0.6001,0.4285,0.6668,0.6001,0.6924,0.6668,0.5002,0.5002,0.6924,0.6365,0.6668,0.7144,0.0,0.5002,0.6924,0.6001,0.0,0.5002,0.2856,0.5002,0.1112,0.2502,0.1112,0.1112,0.6001
28,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
29,0.8999,0.1818,0.625,0.857,0.857,0.857,0.625,0.8749,0.8999,0.625,0.1818,0.857,0.3,0.0,0.4443,0.3,0.857,0.0832,0.3,0.0,0.0832,0.625,0.625,0.0,0.1818,0.0832,0.0715,0.8999,0.625,0.0,0.3,0.8999,0.625,0.9285,0.625,0.8888,0.8749,0.8888,0.8888,0.3
30,0.6,0.091,0.2499,0.4285,0.4285,0.4285,0.2499,0.4998,0.6,0.2499,0.091,0.4285,0.0,0.2308,0.1109,0.0,0.4285,0.1668,0.0,0.2308,0.1668,0.2499,0.2499,0.2308,0.091,0.1668,0.2858,0.6,0.2499,0.2308,0.0,0.6,0.2499,0.7142,0.2499,0.5555,0.4998,0.5555,0.5555,0.0
31,0.0,0.6365,0.5002,0.4285,0.4285,0.4285,0.5002,0.2502,0.0,0.5002,0.6365,0.4285,0.6001,0.6924,0.5557,0.6001,0.4285,0.6668,0.6001,0.6924,0.6668,0.5002,0.5002,0.6924,0.6365,0.6668,0.7144,0.0,0.5002,0.6924,0.6001,0.0,0.5002,0.2856,0.5002,0.1112,0.2502,0.1112,0.1112,0.6001
32,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
33,0.3998,1.0,1.0,0.9997,0.9997,0.9997,1.0,0.7501,0.3998,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3998,1.0,1.0,1.0,0.3998,1.0,0.0,1.0,0.5555,0.7501,0.5555,0.5555,1.0
34,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
35,0.1001,0.5455,0.375,0.2856,0.2856,0.2856,0.375,0.1251,0.1001,0.375,0.5455,0.2856,0.5,0.6154,0.4445,0.5,0.2856,0.5834,0.5,0.6154,0.5834,0.375,0.375,0.6154,0.5455,0.5834,0.6429,0.1001,0.375,0.6154,0.5,0.1001,0.375,0.3571,0.375,0.0,0.1251,0.0,0.0,0.5
36,0.2001,0.4545,0.2499,0.1426,0.1426,0.1426,0.2499,0.0,0.2001,0.2499,0.4545,0.1426,0.3999,0.5384,0.3333,0.3999,0.1426,0.5,0.3999,0.5384,0.5,0.2499,0.2499,0.5384,0.4545,0.5,0.5714,0.2001,0.2499,0.5384,0.3999,0.2001,0.2499,0.4286,0.2499,0.1112,0.0,0.1112,0.1112,0.3999
37,0.1001,0.5455,0.375,0.2856,0.2856,0.2856,0.375,0.1251,0.1001,0.375,0.5455,0.2856,0.5,0.6154,0.4445,0.5,0.2856,0.5834,0.5,0.6154,0.5834,0.375,0.375,0.6154,0.5455,0.5834,0.6429,0.1001,0.375,0.6154,0.5,0.1001,0.375,0.3571,0.375,0.0,0.1251,0.0,0.0,0.5
38,0.1001,0.5455,0.375,0.2856,0.2856,0.2856,0.375,0.1251,0.1001,0.375,0.5455,0.2856,0.5,0.6154,0.4445,0.5,0.2856,0.5834,0.5,0.6154,0.5834,0.375,0.375,0.6154,0.5455,0.5834,0.6429,0.1001,0.375,0.6154,0.5,0.1001,0.375,0.3571,0.375,0.0,0.1251,0.0,0.0,0.5
39,0.6,0.091,0.2499,0.4285,0.4285,0.4285,0.2499,0.4998,0.6,0.2499,0.091,0.4285,0.0,0.2308,0.1109,0.0,0.4285,0.1668,0.0,0.2308,0.1668,0.2499,0.2499,0.2308,0.091,0.1668,0.2858,0.6,0.2499,0.2308,0.0,0.6,0.2499,0.7142,0.2499,0.5555,0.4998,0.5555,0.5555,0.0
