,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
19,0.1109,0.2499,0.0,0.5555,0.4998,0.4998,0.1109,0.4285,0.1109,0.2858,0.4998,0.7142,0.5555,0.4285,0.4998,0.2499,0.6363,0.5555,0.6,0.0,0.0,0.4998,0.0,0.4285,0.5555,0.4998,0.2499,0.6666,0.6923,0.6923,0.2499,0.6,0.0,0.1109,0.6923,0.4998,0.4998,0.4285,0.1109,0.2499
20,0.1109,0.2499,0.0,0.5555,0.4998,0.4998,0.1109,0.4285,0.1109,0.2858,0.4998,0.7142,0.5555,0.4285,0.4998,0.2499,0.6363,0.5555,0.6,0.0,0.0,0.4998,0.0,0.4285,0.5555,0.4998,0.2499,0.6666,0.6923,0.6923,0.2499,0.6,0.0,0.1109,0.6923,0.4998,0.4998,0.4285,0.1109,0.2499
21,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
22,0.1109,0.2499,0.0,0.5555,0.4998,0.4998,0.1109,0.4285,0.1109,0.2858,0.4998,0.7142,0.5555,0.4285,0.4998,0.2499,0.6363,0.5555,0.6,0.0,0.0,0.4998,0.0,0.4285,0.5555,0.4998,0.2499,0.6666,0.6923,0.6923,0.2499,0.6,0.0,0.1109,0.6923,0.4998,0.4998,0.4285,0.1109,0.2499
23,0.2224,0.1251,0.3,0.2221,0.1248,0.1248,0.2224,0.0,0.2224,0.5001,0.1248,0.4999,0.2221,0.0,0.1248,0.1251,0.3635,0.2221,0.3,0.3,0.3,0.1248,0.3,0.0,0.2221,0.1248,0.1251,0.4166,0.4615,0.4615,0.1251,0.3,0.3,0.2224,0.4615,0.1248,0.1248,0.0,0.2224,0.1251
24,0.4445,0.375,0.5,0.0,0.1251,0.1251,0.4445,0.2856,0.4445,0.6429,0.1251,0.3571,0.0,0.2856,0.1251,0.375,0.1818,0.0,0.1001,0.5,0.5,0.1251,0.5,0.2856,0.0,0.1251,0.375,0.25,0.3077,0.3077,0.375,0.1001,0.5,0.4445,0.3077,0.1251,0.1251,0.2856,0.4445,0.375
25,0.3333,0.2499,0.3999,0.1112,0.0,0.0,0.3333,0.1426,0.3333,0.5714,0.0,0.4286,0.1112,0.1426,0.0,0.2499,0.2727,0.1112,0.2001,0.3999,0.3999,0.0,0.3999,0.1426,0.1112,0.0,0.2499,0.3334,0.3847,0.3847,0.2499,0.2001,0.3999,0.3333,0.3847,0.0,0.0,0.1426,0.3333,0.2499
26,0.1112,0.0,0.2,0.3333,0.2499,0.2499,0.1112,0.143,0.1112,0.4286,0.2499,0.5714,0.3333,0.143,0.2499,0.0,0.4545,0.3333,0.4,0.2,0.2,0.2499,0.2,0.143,0.3333,0.2499,0.0,0.5,0.5385,0.5385,0.0,0.4,0.2,0.1112,0.5385,0.2499,0.2499,0.143,0.1112,0.0
27,0.7779,0.7501,0.8,0.3333,0.5002,0.5002,0.7779,0.7141,0.7779,0.8572,0.5002,0.1428,0.3333,0.7141,0.5002,0.7501,0.091,0.3333,0.1999,0.8,0.8,0.5002,0.8,0.7141,0.3333,0.5002,0.7501,0.0,0.077,0.077,0.7501,0.1999,0.8,0.7779,0.077,0.5002,0.5002,0.7141,0.7779,0.7501
28,0.8891,0.8752,0.9001,0.4445,0.6253,0.6253,0.8891,0.857,0.8891,0.9287,0.6253,0.0713,0.4445,0.857,0.6253,0.8752,0.182,0.4445,0.3,0.9001,0.9001,0.6253,0.9001,0.857,0.4445,0.6253,0.8752,0.0834,0.0,0.0,0.8752,0.3,0.9001,0.8891,0.0,0.6253,0.6253,0.857,0.8891,0.8752
