ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
42.86,64.29,92.86,71.43,78.57,78.57,85.71,92.86,50.0,64.29,35.71,50.0,0.0,50.0,71.43,57.14,78.57
57.14,35.71,50.0,78.57,78.57,78.57,64.29,85.71,42.86,64.29,50.0,35.71,0.0,35.71,50.0,64.29,78.57
58.33,8.33,91.67,91.67,100.0,66.67,0.0,91.67,0.0,83.33,50.0,25.0,0.0,33.33,50.0,75.0,66.67
66.67,75.0,50.0,58.33,75.0,83.33,91.67,66.67,50.0,58.33,33.33,41.67,58.33,41.67,75.0,66.67,66.67
50.0,58.33,75.0,50.0,50.0,58.33,83.33,66.67,75.0,66.67,16.67,33.33,25.0,33.33,58.33,41.67,50.0
58.33,8.33,75.0,91.67,91.67,50.0,25.0,58.33,16.67,75.0,33.33,33.33,0.0,41.67,58.33,58.33,58.33
66.67,91.67,100.0,83.33,91.67,91.67,91.67,75.0,66.67,91.67,50.0,50.0,16.67,50.0,66.67,58.33,58.33
66.67,75.0,50.0,83.33,83.33,91.67,83.33,83.33,50.0,66.67,41.67,41.67,0.0,41.67,66.67,58.33,50.0
66.67,25.0,100.0,100.0,91.67,50.0,33.33,66.67,25.0,83.33,75.0,66.67,0.0,25.0,50.0,58.33,66.67
50.0,58.33,33.33,41.67,41.67,58.33,83.33,75.0,91.67,75.0,66.67,83.33,41.67,58.33,58.33,41.67,58.33
50.0,25.0,83.33,66.67,50.0,41.67,41.67,58.33,41.67,41.67,41.67,25.0,8.33,83.33,50.0,25.0,33.33
83.33,83.33,66.67,91.67,91.67,91.67,91.67,75.0,75.0,75.0,50.0,41.67,16.67,66.67,50.0,58.33,58.33
50.0,75.0,83.33,83.33,83.33,91.67,83.33,75.0,58.33,58.33,25.0,33.33,8.33,41.67,66.67,50.0,41.67
50.0,16.67,0.0,41.67,50.0,58.33,58.33,75.0,50.0,66.67,33.33,41.67,0.0,58.33,58.33,41.67,50.0
66.67,0.0,75.0,58.33,83.33,50.0,33.33,75.0,41.67,75.0,66.67,58.33,8.33,25.0,58.33,58.33,66.67
50.0,25.0,0.0,8.33,16.67,58.33,58.33,66.67,91.67,58.33,33.33,58.33,33.33,33.33,50.0,33.33,50.0
41.67,16.67,41.67,75.0,66.67,83.33,41.67,83.33,41.67,25.0,33.33,8.33,0.0,66.67,58.33,25.0,33.33
33.33,58.33,16.67,50.0,66.67,83.33,66.67,75.0,58.33,66.67,33.33,33.33,0.0,50.0,58.33,41.67,58.33
50.0,41.67,50.0,66.67,66.67,75.0,33.33,75.0,41.67,66.67,16.67,8.33,25.0,33.33,58.33,50.0,58.33
50.0,33.33,0.0,50.0,58.33,66.67,50.0,75.0,33.33,75.0,33.33,41.67,0.0,41.67,58.33,50.0,58.33
33.33,0.0,8.33,41.67,66.67,33.33,25.0,66.67,16.67,75.0,25.0,33.33,16.67,33.33,50.0,50.0,58.33
41.67,50.0,100.0,83.33,75.0,75.0,58.33,83.33,25.0,75.0,8.33,41.67,0.0,25.0,58.33,41.67,50.0
